題號,類別,題目,解答
364,新型專利形式審查,何謂新型專利技術報告？,新型專利採形式審查，並未對是否合於專利要件進行實體審查，導致新型專利權的權利內容存在著相當的不安定性及不確定性。若新型專利權人利用此一不確定的權利而不當行使，可能產生權利濫用之情形，對第三人的技術利用及研發帶來相當大的危害，因此搭配有新型專利技術報告制度。任何人都可以向本局參申請新型專利技術報告(專利法第115條第1項)，以釐清該新型專利是否合於專利要件之疑義，惟該新型專利技術報告之性質，係屬機關無拘束力之報告，並非行政處分，僅作為權利行使或技術利用之參酌。若任何人認該新型專利有不應核准專利之事由，應依專利法第119條規定提起舉發，始能撤銷該新型專利權。
365,新型專利形式審查,何人可以申請新型專利技術報告？,任何人(包括專利權人本人在內)都可以向本局申請。
366,新型專利形式審查,何時可以申請新型專利技術報告？,自新型專利申請案公告後，即可提出申請。如果新型專利已經核准處分，並由申請人繳交證書費及第1年專利年費，在公告前，該專利案已明確處於可公告取得專利權之狀態，為便利民眾及行政經濟之考量，此期間所提出之技術報告之申請，本局會受理；惟本局將於新型專利案公告後始進行技術報告之處理。
367,新型專利形式審查,何時可以在智慧局網站專利檢索系統看到有人申請新型專利技術報告？,"自申請人向本局提出新型專利技術報告之申請後，經本局收文、程序審查、發交審查後，即可排定公告(每月1、11、21日公告)，公告後便可在本局網站專利檢索系統查詢到申請新型專利技術報告之資訊。
查詢方式：本局局網首頁→專利→進入專利主題網→申請專利→專利檢索本局首頁 → 專利→審查公開資訊查詢暨資料檢索→中華民國專利資訊檢索系統→專利檢索→簡易檢索→輸入申請案號→按[確定]「雜項資料」欄位有專利新型技術報告申請日期，並於99/7/1起提供專利新型技術報告書下載。"
368,新型專利形式審查,可以撤回新型專利技術報告的申請嗎？,因申請新型專利技術報告之事實必須刊載於專利公報，為保護利害關係人之權益，不得撤回新型專利技術報告之申請(專利法第115條第7項)。
369,新型專利形式審查,新型專利權消滅後，還可以申請新型專利技術報告嗎？,可以(專利法第115條第6項)。
370,新型專利形式審查,申請新型專利技術報告是否採逐項收費？是否逐項作成報告？,在102年1月1日後，申請新型專利技術報告除應繳納5000元基本費(10項)外，如請求項超過10項每項加收600元；另新型專利技術報告採逐項比對。
371,新型專利形式審查,新型專利技術報告的性質為何？對技術報告內容不服，可以提起行政救濟嗎？,"新型專利技術報告之性質，係屬機關無拘束力之報告，並非行政處分，僅作為權利行使或技術利用之客觀判斷的參考依據。所以名稱定為「新型專利技術報告」，而不是「技術審定書」、「技術處分書」。
申請人對新型專利技術報告之比對結果如有不服，因其並非行政處分，所以無法提起行政救濟。"
372,新型專利形式審查,技術報告申請人可以主動提供引證資料或相關先前技術資料給智慧局參考嗎？,可以。
373,新型專利形式審查,可以針對同一新型專利權，提出多次技術報告申請嗎？,可以。任何人在新型專利申請案公告後，得向本局申請技術報告(專利法第115條第1項)。因此，任何人認有需要均可申請，並無次數限制。如有人針對同一新型再申請技術報告，本局在製作第2份技術報告時，先前第1份技術報告已檢索且比對過之資料部分，不會再進行比對。但如因檢索期間不同(例如發現其他未經檢索之公開或公告之專利資料)、發現未經比對之公開資料或因申請專利範圍更正，以致比對之基礎與第1次不同時，在此情況下，會就先前未檢索或未比對之資料再進行比對。除此以外，原則上不會作不同之認定。
374,新型專利形式審查,可以申請調閱他人已申請的新型專利技術報告嗎？,"可以。技術報告之內容，任何人均得申請閱覽、抄錄、攝影或影印。99年7月1日後作成之技術報告亦可上網查詢。
查詢方式：本局局網首頁→專利→進入專利主題網→申請專利→專利檢索 → 專利 → 審查公開資訊查詢暨資料檢索→中華民國專利資訊檢索系統→專利檢索→簡易檢索→輸入申請案號。"
375,新型專利形式審查,申請新型專利技術報告，應否備具理由及證據，並指出違反專利要件的事由？,不需要；申請新型專利技術報告，不須備具理由及證據，不須指明違反專利要件之事由及專利法條款，本局將依專利法第115條第4項所列各條款全部予以比對。若申請人附具證據，本局會參酌該證據。
376,新型專利形式審查,若新型專利技術報告申請人非為專利權人，新型專利技術報告「申請時」會通知專利權人嗎？,新型專利技術報告如果不是專利權人所申請，本局不會通知專利權人，但會將申請新型專利技術報告之事實刊載於專利公報。
377,新型專利形式審查,若新型專利技術報告申請人非為專利權人，新型專利技術報告「完成後」會通知專利權人嗎？,若申請人非為專利權人，新型專利技術報告完成後，除通知申請人外會另外副知專利權人。
378,新型專利形式審查,新型專利技術報告內容不利於專利權人時，會通知專利權人答辯嗎？,本局在技術報告製作完成前，如依引用文獻之記載，判斷有任一請求項不具新穎性及（或）不具進步性要件(比對結果代碼1~5)時，會先發出「技術報告引用文獻通知函」通知專利權人針對前述事項提出說明，審查人員會參酌專利權人之回覆說明，再判斷是否變更原先對該新型請求項之比對結果。
379,新型專利形式審查,新型專利雖已取得證書，但技術報告不利時，該證書是否有用？,新型專利技術報告之結果並不影響已核准之專利權，該專利權未被撤銷前仍為有效。但行使權利時，專利權人應注意專利法第117條之規定，審慎為之。
380,新型專利形式審查,智慧局製作新型專利技術報告時，若發現該新型不符專利要件，會如何處理？,在製作新型專利技術報告時，若經比對發現該新型專利有不符合專利法第115條第4項之情事，新型專利技術報告中將載明不符該等情事之比對說明。任何人如認為該新型專利有違反專利要件之虞者，可經由舉發程序撤銷該專利權。
381,新型專利形式審查,新型專利權的行使，是否以提示技術報告為要件？,由於新型專利未經實體審查即取得權利，該專利權究竟是否符合專利要件，尚不確定，為防止專利權人不當行使或濫用權利，造成他人之損害，乃明定如未提示新型專利技術報告，不得進行警告，並作為推定專利權人行使權利有無故意過失責任之認定，惟提示新型專利技術報告，並非行使新型專利權之前提要件但不當行使權利時，要負損害賠償責任。
382,新型專利形式審查,新型專利權之行使，專利法第116條規定專利權人如未提示技術報告不得進行警告。則此「警告」是否為行使新型專利權之要件？如未「警告」或雖警告但「未提示」技術報告，效果為何？,"新型專利權之行使，依專利法第116條規定，如未提示新型專利技術報告，不得進行警告，其立法目的係因新型專利未經實體審查即取得權利，該專利究有無符合專利要件，尚不確定，為防止專利權人不當行使或濫用權利，造成他人之損害，乃明定未提示技術報告不得進行警告。
專利法規定專利權人如未提示技術報告不得進行警告之目的，並非在限制人民訴訟權利，僅係防止權利之濫用，縱使新型專利權人未提示新型專利技術報告，亦非不得提起民事訴訟，法院就未提示新型專利技術報告之案件，亦非當然不會受理。對於未提示技術報告而進行警告者，專利法並無相關配套規定，但得依公平交易法相關規定處理。
"
383,新型專利形式審查,申請新型專利技術報告的結果，會刊載於專利公報嗎？,"申請新型專利技術報告之事實本局將刊載於專利公報，至於技術報告評價之內容及結果，本局並未將其刊載於專利公報公告，申請人如欲取得者，可申請影印；亦可上網查詢或自行下載列印。
查詢方式：本局局網首頁→專利→進入專利主題網→申請專利→專利檢索→專利→專利資料檢索→中華民國專利資訊檢索系統→專利檢索→簡易檢索→輸入申請案號→新型專利技術報告。"
384,新型專利形式審查,新型專利技術報告多久可以完成？,1年左右。但如符合專利法第115條第5項規定，敘明有非專利權人為商業上實施，併檢附有關證明文件，本局將於6個月內完成新型專利技術報告。
385,新型專利形式審查,先前所申請之技術報告遺失，可以申請補發嗎？,不可以補發。但可申請影印，本局將依影印張數酌收費用(目前每頁2元)。
386,設計專利實體審查,物品的色彩可以申請設計專利嗎？,可以。依附在物品的色彩如果要主張色彩，其圖式應具體呈現其色彩。基本上就是在所申請的設計專利中，每個圖式都呈現一致的色彩。102年1月1日起針對設計專利，有涉及顏色而主張色彩者，其圖式呈現其色彩即可，不需要再檢送色卡編號或色票。
387,設計專利實體審查,文字可以當作花紋申請設計專利嗎？,可以。若申請設計專利之物品表面包含文字，例如包裝盒表面包含文字，該文字將被視為花紋之構成要素而得申請設計專利；其所保護之內容是指文字本身所呈現之視覺效果，或經設計構成或布局後整體呈現之視覺效果，而非文字本身所隱含的意思。但必須注意的是，如果僅申請文字本身而未依附於物品者，仍不符合設計的定義。
388,設計專利實體審查,大樓外觀或室內設計，可以申請設計專利嗎？,可以。建築或室內設計如能符合說明書及圖式之揭露要件及專利要件，可以取得設計專利。例如所申請的設計專利為建築物，就必須於圖式中具備足夠的視圖，以明確且充分揭露該建築物的各角度之設計特徵，又如所申請的設計專利為室內設計，亦必須於圖式中明確且充分揭露該室內空間之具體形態。
389,設計專利實體審查,何謂圖像設計？可以申請設計專利嗎？,"圖像設計是專利法（第121條第2項）所指「應用於物品之電腦圖像（Computer-Generated Icons）及圖形化使用者介面設計（Graphical User Interface, GUI）」之簡稱。電腦圖像及圖形化使用者介面是指一種透過電腦程式產品所產生，並可藉由各種電子裝置之顯示器顯現或投射產生的二維或三維之虛擬形。一般來說電腦圖像是指單一的圖像單元，圖形化使用者介面則可由數個圖像單元及其背景所構成之整體畫面。
由於電腦圖像及圖形化使用者介面在性質上屬於具視覺效果之形狀、花紋、色彩或其結合的「外觀」創作，而電腦程式產品屬廣意上可供產業上利用之實用「物品」，故只要係以「電腦程式產品之圖像」、「電腦軟體之圖形化使用者介面」等方式提出申請，即可符合設計必須應用於物品之規定，而無須就圖像設計所應用之各類電子資訊產品分案申請。然而，未指明其係應用於電腦程式產品或其他物品，而僅單獨申請圖形本身者，則不符合設計之定義。
"
390,設計專利實體審查,何謂部分設計？,是指申請人得就物品之部分的設計創作申請設計專利，以避免市場競爭者抄襲產品的局部新穎特徵而輕易迴避該設計專利之保護。亦即，申請專利之設計標的並不僅限於物品之全部的外觀，申請人得選擇針對物品的局部新穎特徵申請部分設計，以取得更周延的設計保護範圍。
391,設計專利實體審查,國內申請案是部分設計，但據以主張優先權的國外基礎案是全部設計，也可以主張優先權嗎？,可以；反之亦可。
392,設計專利實體審查,何謂成組設計？,"成組設計，係指對於二個以上之物品，其是屬於同一類別，且習慣上以成組物品販賣或使用者，得以一設計提出申請。
同一類別，指國際工業設計分類表之同一大類（class）之物品。即申請成組設計之所有構成物品應屬該分類表同一大類中所列之物品，例如以「一組餐桌椅」申請成組設計，該構成物品之桌子及椅子皆屬於國際工業設計分類表之第06類－家具中所列之物品，即符合成組設計之同一類別。
習慣上以成組物品販賣，係指該二個以上之物品，在市場消費習慣上是以成組物品一同販賣，例如床包組（包含床罩、床單及枕頭套等）、茶具組（包含茶杯、茶壺、茶盤及濾壺等）、沙發組（包含沙發椅、沙發床及腳凳等）、餐具組（包含餐刀、餐叉及湯匙等）、手工具組（包含鑽子、扳手及螺絲起子等）、對錶組（包含男、女對錶）、茶几組（包含大、中、小茶几）等。
習慣上以成組物品使用，係指該二個以上之物品，在使用習慣上會以成組物品合併使用，其通常在使用其中一件物品時，會產生使用聯想，從而想到另一件或另幾件物品的存在，例如咖啡組（包含咖啡杯、咖啡壺、糖罐及牛奶壺等）、課桌椅組（包含課桌及課椅等）、文具組（包含鉛筆、橡皮擦、直尺及鉛筆盒等）、刷具組（包含大、小化妝刷、粉撲及手提鏡等）、飾品組（包含戒指、項?及耳墜等）、運動服組（包含運動外套、運動褲、運動帽等）、音響組合（包含播放器、喇叭及擴大機等）等。"
393,設計專利實體審查,何謂衍生設計？,衍生設計專利，是指同一申請人就二個以上近似之設計得申請原設計及其衍生設計；一般而言，基於「先申請原則」，相同或近似之設計有二以上之專利申請時，只能就先申請者准予專利，但若為同一申請人就二個以上近似之創作，則可以利用該制度申請設計及其衍生設計，而不受「先申請原則」要件之限制。
394,設計專利實體審查,衍生設計與過去的聯合新式樣專利有何差別？,每一個衍生設計都可單獨主張權利，都具有同等之保護效果，且都有近似範圍，故衍生設計專利與過去的聯合新式樣專利，在申請期限、專利要件的判斷、權利範圍及可否獨立存在有顯著之差異。
395,設計專利實體審查,何時可以申請衍生設計？,衍生設計之申請，必須在原設計已提出申請（包括申請當日）且在原設計專利公告日之前，始得為之；另外，衍生設計所主張之優先權日亦不得早於原設計之申請日（原設計有主張優先權者，衍生設計所主張之優先權日同樣不得早於其原設計之優先權日）。
396,設計專利實體審查,衍生設計的設計名稱必須與原申請案一致嗎？,沒有必要。重點在於該設計名稱應與申請該衍生設計的內容一致；例如原設計為「鋼筆」、衍生設計為「鋼珠筆」，該衍生設計應記載為「鋼珠筆」而非「鋼筆衍生一」，俾與該衍生設計的內容一致。
397,設計專利實體審查,衍生設計專利與原設計專利有何關係？,"設計專利係保護可供產業利用之物品外觀的創作。由於產業界在開發新產品時，通常在同一設計概念下會發展出多個近似之產品設計，或就同一產品先後進行改良而產生近似設計，所以為考量這些同一設計概念下之近似設計，或是日後改良之近似設計，其具有與原設計同等之保護價值，應給予同等之保護效果。專利法規定同一人有二個以上近似之設計，得申請設計專利及其衍生設計專利，以保護設計專利權人的權益。其效果如下:
(1) 衍生設計專利權得單獨主張，且及於其近似之範圍。
(2) 衍生設計專利權期限始於公告日，而與其原設計專利權期限同時屆滿。
(3) 由於衍生設計專利權有其獨立之權利範圍，縱原設計專利權有未繳交專利年費或因?棄致當然消滅者，或經撤銷確定者，衍生設計專利仍得繼續存續，不因原設計專利權經撤銷或消滅而受影響。
"
398,設計專利實體審查,何謂設計之產業利用性？,申請專利之設計必須在產業上得以利用、具備量產的可能性，才符合申請設計專利之要件，稱為產業利用性。此處所稱產業包含廣義的產業，例如工業、農業、林業、漁業、牧業、礦業、水產業等，甚至包含運輸業、通訊業等。若申請專利之設計在產業上能被製造或使用，則認定該設計可供產業上利用，具產業利用性；其中，能被製造或使用，指該透過視覺訴求之創作於產業上有被製造或使用之可能性，不限於該設計之創作已實際被製造或使用。例如:利用幾何原理上之錯視（illusion）效果所繪製的無限迴旋樓梯，而在現實生活中無法被製造或使用者，即不具產業利用性。
399,設計專利實體審查,何謂設計之新穎性？,與申請專利之設計相同或近似之設計未構成先前技藝的一部分時，稱該設計具新穎性。專利法所稱之先前技藝，係指申請前已見於刊物、已公開實施或已為公眾所知悉之技藝。而所稱之近似，是指普通消費者會將申請專利之設計與先前技藝產生混淆、誤認之視覺印象，亦即會將該設計誤認為先前技藝時，則屬近似之設計。新穎性係取得設計專利的要件之一，申請專利之設計是否具新穎性，通常於其具產業利用性之後始予審查。
400,設計專利實體審查,何謂設計之擬制喪失新穎性？,先前技藝涵蓋申請日之前所有能為公眾得知之技藝。如果有一申請案申請在先，而在後申請案申請日之後才公告之設計專利，先申請案原本並不構成先前技藝的一部分；惟依專利法之規定，設計專利先申請案所附說明書或圖式之內容以法律擬制（legal fiction）為先前技藝，若後申請案申請專利之設計與先申請案所附說明書或圖式中揭露之技藝內容相同或近似時，則為擬制喪失新穎性。擬制喪失新穎性僅適用於不同申請人在不同申請日有先、後兩申請案，而後申請案所申請之設計與先申請案所揭露之設計相同或近似的情況。
401,設計專利實體審查,何謂設計之創作性？,雖然申請專利之設計與先前技藝不相同亦不近似而具有差異，但其係該設計所屬技藝領域中具有通常知識者依申請前之先前技藝易於思及者，稱該設計不具創作性，例如，該差異僅係就非近似物品為直接模仿或轉用等手法，包括模仿自然界形態、著名著作或直接轉用其他技藝領域之先前技藝；或該差異僅係就習知設計之外觀為簡易之變化手法，包括就其他先前技藝之直接置換、組合，改變位置、比例、數目，或運用習知設計之簡易變化，僅係利用該等簡易手法所為之創作且無法使該設計的整體外觀產生特異之視覺效果者，應認定該設計為易於思及，不具創作性。創作性係取得設計專利的要件之一，申請專利之設計是否具創作性，應於其具新穎性（包括擬制喪失新穎性）之後始予審查，不具新穎性者，無須再審究其創作性。
402,設計專利實體審查,何謂設計之先申請原則？,相同或近似之設計有二以上專利申請案時，僅得就其最先申請者准予設計專利。如申請日或優先權日為同日者，則應通知申請人協議定之，協議不成時，均不予設計專利；如申請人為同一人時，則應通知申請人限期擇一，屆期未擇一申請者，均不予設計專利。
403,設計專利實體審查,何謂設計之單一性？,申請設計專利，應就每一設計提出申請。每一設計專利申請案中說明書及圖式所揭露之單一外觀應用於單一物品，即所謂一設計一申請。亦即，一設計揭露二個以上之外觀，或一設計指定二個以上之物品，原則上不得合併在一申請案中申請；惟設計之外觀會產生變化而屬於設計的一部分者（具變化外觀之設計），仍視為符合一設計一申請，得以一設計提出申請。另外，對於二個以上之物品，其是屬於同一類別，且習慣上以成組物品販賣或使用者（成組設計），亦得以一設計提出申請。以具變化外觀之設計或成組設計提出申請者，在權利行使上，只能將其視為一個整體之設計行使權利，不得就單個或其中多個外觀，或單個或其中多個物品單獨行使權利。
404,設計專利實體審查,設計專利沒有申請專利範圍，要如何判斷設計的專利權範圍？,設計專利權範圍，以圖式為準，並得審酌說明書(專利法第136條第2項)。因此，判斷設計的專利權範圍是以圖式所揭露的內容為主，專利說明書雖無申請專利範圍之記載，並不影響專利權範圍之判斷。
405,設計專利實體審查,設計專利的審查制度與發明、新型專利有何不同？,設計專利審查制度不採發明之早期公開及請求審查制，也不採取新型之形式審查制，申請專利之設計自文件齊備後由本局之審查人員進行實體審查。
406,設計專利實體審查,申請人不服設計不予專利初審審定，應如何救濟？,不服設計不予專利之初審審定，可於審定書送達後2個月內向本局申請再審查。
407,設計專利實體審查,申請人不服設計不予專利再審查審定，應如何救濟？,申請人不服設計不予專利再審查審定者，可於收到審定書之次日起30天內，備具訴願書正、副本(正本：經濟部、副本：經濟部智慧財產局)，並均須檢附審定書影本，經由本局或直接向經濟部提起訴願。
408,修正、誤譯訂正,提出專利申請後，何時可以修正說明書、申請專利範圍及圖式？,"得提出修正之時機，依不同專利種類說明如下：
(1) 發明：申請人於本局發給審查意見通知前，均得提出修正。而於本局發給審查意見通知後，僅得於該通知指定之期間內提出修正；申請人於初審核駁審定後，提出再審查時，於本局發給再審查意見通知前，仍得提出修正。而於本局發給再審查意見通知後，僅得於該通知指定之期間內提出修正(專利法第43條第3項)。
(2) 設計：同發明之修正期間(專利法第142條第1項準用第43條第3項)。
(3) 新型：申請人於本局發給通知修正函前，均得提出修正。惟於本局發給通知修正函後，僅得於該函指定之期間內提出修正(專利法第120條準用第43條第3項)。"
409,修正、誤譯訂正,專利案申請分割時，原申請案為分割而同時進行的修正，也要受到期間限制嗎？,分割申請時，若原申請案(母案)因分割而需修正，該修正於審定前均得為之。惟分割後，原申請案(母案)及分割案(子案)之修正，則有期限限制。即發明(設計)必須在申請人於本局發給審查意見通知前，提出修正。於本局發給審查意見通知後，僅得於該通知指定之期間內提出修正；申請人於初審核駁審定後，提出再審查時，於本局發給再審查意見通知前，仍得提出修正。惟於本局發給再審查意見通知後，僅得於該通知指定之期間內提出修正(專利法第43條第3項、專利法第142條準用專利法第43條第3項)。
410,修正、誤譯訂正,專利案核准後尚未領證前，可以申請修正嗎？,修正需於審定前為之，已經審定核准之案件，須先領證後再提出更正。
411,修正、誤譯訂正,第三人申請實體審查的發明專利案，申請人可以提出修正嗎？,可以。
412,修正、誤譯訂正,提出專利申請後，想到更好的技術，可以將新技術修正加入原來的說明書、申請專利範圍及圖式嗎？,為平衡申請人及社會公眾的利益，並兼顧先申請原則及未來取得權利的安定性，修正應僅限定在申請時說明書、申請專利範圍或圖式所揭露之範圍內始得為之(專利法第43條第2項)。
413,修正、誤譯訂正,申請修正要檢送什麼文件？修正的地方要如何劃線？,"
若說明書及申請專利範圍之某用語散見於文件多處，且需全部修正時，得於申請書敘明修正前後之用語，所在頁數、段落編號與行數，及修正理由，不必檢送劃線之修正頁，但仍須檢送無劃線之替換頁。
※申請書請至本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知下載本局局網首頁→專利→申請資訊及表格→專利申請表格暨申請須知→下載「專利修正申請書」。
(2) 申請修正之劃線原則如下：
A. 如刪除原內容者，應劃線於刪除之文字上；如新增內容者，應劃線於新增之文字下方。但刪除部分請求項者，只須於刪除之請求項號後註記「刪除」即可，不必列出被刪除之請求項全部文字並劃線。
B. 有多次修正時，各次修正應劃線註記之部分，以該次修正檢送之替換頁（本）為範圍，就其修正之內容，在審查意見通知送達前，以取得申請日之說明書或申請專利範圍為劃線比對之基礎，在審查意見通知送達後，以最近一次審查過之說明書或申請專利範圍為劃線比對之基礎。如先前曾申請誤譯訂正者，則以該次訂正頁（本）為劃線比對之基礎，不准訂正時，將另通知補正以訂正申請前之中文本為劃線比對基礎之劃線頁（本）。"
414,修正、誤譯訂正,何謂最後通知？最後通知對修正申請專利範圍有何限制？,"(1)申請人於接獲審查意見通知後得進行修正，但因修正而產生新的不准專利事由，仍須通知申請人申復或修正時，若該新的不准專利事由是可歸責於申請人時，得發給最後通知。最後通知主要為有效利用先前審查結果，限制申請人只能在原先審查範圍內進一步修正申請專利範圍。
(2)經本局為最後通知者，其申請專利範圍之修正，申請人僅得於通知之期間內，就下列事項為之：
A. 請求項之刪除。
B. 申請專利範圍之減縮。
C. 誤記之訂正。
D. 不明瞭記載之釋明。"
415,修正、誤譯訂正,何謂誤譯訂正？,申請專利所須具備之說明書、申請專利範圍及必要之圖式，申請人得先提出外文本，再於指定期間內補正中文本，此份中文本即作為本局後續審查申請專利內容和審查一般修正比對之基礎。但實務上依外文本翻譯之首次中文本，偶有翻譯錯誤之情事，申請人可以申請誤譯訂正，此時本局將回歸外文本比對當初補正之中文本是否有翻譯錯誤之情事，准予誤譯訂正後之中文本會取代首次中文本，而作為後續審查及一般修正比對之基礎。誤譯訂正和一般修正除了審查比對的基礎不同之外，申請書表和規費也不同(申請誤譯訂正一次收取規費新臺幣2000元，申請一般修正免收規費)。
416,修正、誤譯訂正,申請誤譯訂正要檢送什麼文件？訂正的地方要如何劃線？,"在專利申請案審定(處分)前申請誤譯訂正者，請使用誤譯訂正申請書；在專利權核准公告後申請誤譯訂正者，請使用「專利更正申請書(誤譯訂正適用)」。
※申請人為佐證其訂正理由之佐證資料有必要提出者，應一併提出。例如具公信力之中外字典等。
※申請書請至本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知下載本局局網首頁→專利→申請資訊及表格→專利申請表格暨申請須知→下載「專利誤譯訂正申請書」。
(2) 申請誤譯訂正之劃線原則如下：
A. 如為刪除原內容者，應劃線於刪除之文字上；如為新增內容者，應劃線於新增之文字下方。
B. 訂正部分劃線之訂正本（頁），應就訂正內容，以取得申請日之中文本為劃線比對之基礎；若先前曾准予誤譯之訂正者，則以准予訂正之訂正本為劃線比對之基礎。
"
417,修正、誤譯訂正,可以同時申請修正和誤譯訂正嗎？應如何辦理？,"可以。申請一般修正應備具修正申請書，而申請誤譯之訂正則應備具誤譯訂正申請書。若二者同時申請，可以分別提出二種申請書之方式為之，也可以誤譯訂正申請書附帶申請一般修正之方式為之，但誤譯訂正申請書中應分別指明訂正及修正事項。
同時申請修正與誤譯訂正者，除申請書外，應分別檢附下列文件（其份數與發明、新型及設計分別申請修正及誤譯訂正之份數相同）：
(1) 訂正部分劃線之說明書或申請專利範圍訂正頁：以訂正申請前之中文本為其劃線比對基礎，如先前曾准予誤譯之訂正者，以准予訂正之訂正頁(本)為劃線比對之基礎。
(2) 修正部分劃線之說明書或申請專利範圍修正頁：以該次訂正頁(本)為劃線比對基礎，不准訂正時，將另通知補正以訂正申請前之中文本為劃線比對基礎之劃線頁(本)。
(3) 訂正及修正後無劃線之說明書、申請專利範圍或圖式替換頁(本)。
申請人因誤譯申請訂正者，如經審查准予訂正，該訂正本即取代申請時依外文本所翻譯之中文本，作為後續進行審查之基礎。因此，其申請案如同時申請訂正及修正者，必須先審查訂正申請，以作為後續修正申請之比對基礎。
※相關資訊請上本局局網首頁→便民服務 →為便民服務計畫 →業務座談會→102年業務座談會之業務報告→修正誤譯訂正更正之處理注意事項。"
418,修正、誤譯訂正,專利申請人有二人以上，修正申請書或誤譯訂正申請書需要全體共有人簽章嗎？,不需要，只要其中一人簽章即可。
419,修正、誤譯訂正,申請時是用簡體字本送件，再補正正體中文本取得申請日，如果發現正體中文本與簡體中文本內容歧異，可以申請誤譯訂正嗎？,專利法所規定「誤譯之訂正」，在針對中文本內容有誤譯之處，得依據外文本之正確內容予以修正，使兩者內容一致。由於中文簡體字與正體字間僅屬文字轉換過程，並無翻譯問題，且中文亦非屬「專利以外文本申請實施辦法」限定之語文種類，因此，若於轉換過程發生文義不一致的情況，僅能申請一般修正，不得申請誤譯訂正，更正時亦同。
420,修正、誤譯訂正,申請修正說明書在先，又就同一頁申請誤譯訂正在後，原來申請修正時所檢送的修正劃線本，要再依申請誤譯訂正後的版本再重新劃線嗎？,是的。應依申請誤譯訂正後的版本再重新製作劃線本(頁)及無劃線之修正本(頁)。因為誤譯訂正及一般修正若均在審查中，須先審查誤譯訂正，所以先提修正申請後，再提誤譯訂正申請，應以誤譯訂正之版本重新製作修正的劃線本及無劃線之修正本(頁)。
421,修正、誤譯訂正,申請時是用外文本送件，再補正中文本取得申請日，如果發現中文本漏了翻譯一整段或一整頁，可以申請誤譯訂正嗎？,誤譯訂正係針對翻譯錯誤之中文語詞或語句所為之訂正，該中文語詞或語句必須對應於外文之語詞或語句，至於外文本之某些段落，其相關內容未見於中文本對應部分時，非屬外文之語詞或語句於翻譯成中文之語詞或語句的過程中產生錯誤，並無誤譯訂正之適用。惟若該等段落之內容已揭露於中文本其他部分，則得以「一般修正」方式將其內容修正至中文本中。
422,修正、誤譯訂正,申請時是用中文本送件，並主張國際優先權，但後來發現中文本漏了翻譯一整段或一整頁，可以申請誤譯訂正嗎？,一開始就以中文本送件並取得申請日的專利申請案，因卷內無外文本可以比對，自然無法申請誤譯訂正。惟若該等段落之內容已揭露於中文本其他部分，得以「一般修正」方式將其內容修正至中文本中；若該等段落之內容沒有揭露於中文本其他部分，可以在程序審查階段，依專利法施行細則第24條規定補正缺漏，並主張缺漏部分已見於主張之優先權基礎案，此時可以原提出申請之日為申請日。
423,修正、誤譯訂正,以外文說明書、申請專利範圍或圖式提出新申請案，於補正中文本後提出分割申請，但分割案只有送中文本，分割案可以依據原申請案的外文本申請誤譯訂正嗎？,申請人以外文本提出新申請案，嗣後提出分割申請，雖其申請文件無須再檢附外文本，惟該分割案係援用原案之申請日且未超出原申請案所揭示之範圍，因此於分割案申請誤譯訂正時，仍得以原申請案之外文說明書、申請專利範圍或圖式為誤譯訂正之比對基礎，惟申請人應說明該訂正未超出分割案對應外文本所揭露之範圍。
424,修正、誤譯訂正,提出新申請案時，同時檢送中、外文說明書、申請範圍或圖式，其後可否申請誤譯訂正？,若提出新申請案時，同時檢送中、外文說明書，該申請案即以提出之日為申請日，嗣後申請誤譯訂正時，由於申請時已檢送有外文本，可供審查比對，因此仍得適用誤譯訂正之規定。
425,分割、改請,何謂分割？,若專利申請案實質包括二個以上之發明時，經本局通知或依申請人申請，得為分割之申請。
426,分割、改請,申請分割，有何期間限制？,"(1) 發明專利申請案之分割，應於原申請案再審查審定前，或於原申請案初審、再審查核准審定書送達後三個月內申請。
(2) 新型專利申請案之分割，應於原申請案處分前，或於原申請案核准處分書送達後三個月內申請。
(3) 設計專利申請案之分割，應於原申請案再審查審定前申請。
在原申請案審定或處分前申請分割者，必須原申請案仍繫屬本局，始得為之。若原申請案已經撤回、拋棄或不受理時，則不得申請分割。又發明、設計專利申請案初審不予專利之審定書已送達者，須依法先申請再審查，使原申請案繫屬於再審查階段，始得提出分割之申請。
(108年5月1日專利法修正公布，108年11月1日施行)
"
427,分割、改請,設計專利申請案核准審定後，可以申請分割嗎？,不可以。設計專利申請案之分割，應於再審查審定前申請。
428,分割、改請,請問發明專利案初審核准已申請領證，但還在初審核准處分書送達後三個月內，是否可以申請分割？,"原申請案仍續行領證程序，分割申請案應就原申請案之說明書所記載的技術內容且與核准審定之請求項非屬相同創作為分割申請。（發明專利再審查核准審定及新型專利核准處分亦同）。
(108年5月1日專利法修正公布，108年11月1日施行)
"
429,分割、改請,發明初審、再審查核准後三個月內可以提分割申請，請問這三個月的時間可以延期嗎？可以只送申請書，其他文件後補嗎？,"(1)不可以。
發明初審、再審查核准後三個月內可以提分割，其期間為法定期間不得延期。
(2)可以先送發明專利分割申請書。
只要意思表示清楚，其他文件可後補。
(108年5月1日專利法修正公布，108年11月1日施行)
"
